P377_Non_target_peg131	Neutral
P378_Non_target_peg132	Neutral
P379_Non_target_peg133	Neutral
P381_Non_target_peg135	Neutral
P384_Non_target_peg138	Neutral
P386_Non_target_peg140	Neutral
P389_Non_target_peg143	Neutral
P390_Non_target_peg144	Neutral
P392_Non_target_peg146	Neutral
P395_Non_target_peg149	Neutral
P397_Non_target_peg151	Neutral
P400_Non_target_peg154	Neutral
P401_Non_target_peg155	Neutral
P404_Non_target_peg158	Neutral
P406_Non_target_peg160	Neutral
P407_Non_target_peg161	Neutral
P408_Non_target_peg162	Neutral
P410_Non_target_peg164	Neutral
P412_Non_target_peg166	Neutral
P413_Non_target_peg167	Neutral
P414_Non_target_peg168	Neutral
P415_Non_target_peg169	Neutral
P418_Non_target_peg172	Neutral
P422_Non_target_peg176	Neutral
P423_Non_target_peg177	Neutral
P426_Non_target_peg180	Neutral
P427_Non_target_peg181	Neutral
P428_Non_target_peg182	Neutral
P430_Non_target_peg184	Neutral
P434_Non_target_peg188	Neutral
P435_Non_target_peg189	Neutral
P436_Non_target_peg190	Neutral
P439_Non_target_peg193	Neutral
P441_Non_target_peg195	Neutral
P442_Non_target_peg196	Neutral
P444_Non_target_peg198	Neutral
P446_Non_target_peg200	Neutral
P447_Non_target_peg201	Neutral
P449_Non_target_peg203	Neutral
P450_Non_target_peg204	Neutral
P456_Non_target_peg210	Neutral
P458_Non_target_peg212	Neutral
P460_Non_target_peg214	Neutral
P461_Non_target_peg215	Neutral
P462_Non_target_peg216	Neutral
P463_Non_target_peg217	Neutral
P468_Non_target_peg222	Neutral
P470_Non_target_peg224	Neutral
P472_Non_target_peg226	Neutral
P474_Non_target_peg228	Neutral
P475_Non_target_peg229	Neutral
P477_Non_target_peg231	Neutral
P478_Non_target_peg232	Neutral
P479_Non_target_peg233	Neutral
P483_Non_target_peg237	Neutral
P484_Non_target_peg238	Neutral
P489_Non_target_peg243	Neutral
P490_Non_target_peg244	Neutral
P491_Non_target_peg245	Neutral
P495_Non_target_peg249	Neutral
P496_Non_target_peg250	Neutral
