Gene	neg.pval	neg.fdr	pos.pval	pos.fdr	lfc
ABCA13	0.979395565746848	0.999663040323235	0.00827766140615383	0.226223249970543	0.7702
ADAM17	0.321510405710298	0.999663040323235	0.876393663299379	0.999987901646542	-0.13542
ADAMTSL3	0.637086078940187	0.999663040323235	0.373981493806099	0.956855291238081	0.07598
ADAT1	0.046977439935809	0.517691388092615	0.996450473220742	0.999987901646542	-0.50461
AKT1	0.0481637796658035	0.520357697957994	0.936312330622054	0.999987901646542	-0.48574
ALDH16A1	0.387932409905459	0.999663040323235	0.325135867425107	0.909390167265146	-0.17682
ANKRD22	0.366040937257949	0.999663040323235	0.82526039163292	0.999987901646542	-0.12165
ASAP	0.519141574696558	0.999663040323235	0.448892892018831	0.999987901646542	-0.051639
ATM	0.162384039419157	0.897187611189905	0.554205489846106	0.999987901646542	0.051552
ATP7A	0.998791836079427	0.999663040323235	0.0558088431616757	0.49250990239678	0.52032
ATP7B	0.304076872619132	0.999663040323235	0.540474019944507	0.999987901646542	-0.20274
ATR	0.107928293504302	0.756094857266735	0.946773783577003	0.999987901646542	-0.29487
BCL2L1	0.686547898687107	0.999663040323235	0.306641633658332	0.898720958222025	0.09527
BCL6B	0.305891752495158	0.999663040323235	0.914327836221708	0.999987901646542	-0.30012
BECN1	0.981350712256598	0.999663040323235	0.162123716299171	0.703276964017904	0.30576
BRCA2	0.857898476501348	0.999663040323235	0.0343011234686076	0.429543614345518	0.5174
C1R	0.996142282754918	0.999663040323235	0.0512895698326656	0.49250990239678	0.4557
CADM1	0.24381722531851	0.999663040323235	0.463533728763761	0.999987901646542	-0.61831
candidate5	0.979044004844221	0.999663040323235	0.170944933115586	0.703276964017904	0.27181
candidate50	0.875861754528559	0.999663040323235	0.0484305826023489	0.49250990239678	0.40882
candidate500	0.00995200987929573	0.219722196436065	0.212423379372305	0.765001843360391	-0.60277
candidate501	0.105924325863433	0.756094857266735	0.767273399085057	0.999987901646542	-0.25848
candidate502	0.119462209759498	0.803236006154988	0.97738369317886	0.999987901646542	-0.38464
candidate503	0.514230044207507	0.999663040323235	0.680271242815041	0.999987901646542	-0.23196
candidate504	0.00140227065264158	0.0643875941337925	0.990611897619149	0.999987901646542	-0.70626
candidate505	0.0952274024608943	0.74438716906688	0.678570743263574	0.999987901646542	-0.43436
candidate506	0.866739019540019	0.999663040323235	0.363851776774452	0.954677757155825	0.54355
candidate507	0.313353197268988	0.999663040323235	0.610272511576534	0.999987901646542	0.1015
candidate508	0.475343669323288	0.999663040323235	0.537245289418798	0.999987901646542	0.061491
candidate509	0.312420424530923	0.999663040323235	0.202933433566629	0.745565355290273	-0.077723
candidate51	0.646715449441639	0.999663040323235	0.254597267590997	0.812082485284783	-0.013849
candidate510	0.0644541214046762	0.601935947355536	0.950341889415423	0.999987901646542	-0.47626
candidate511	0.592851938083547	0.999663040323235	0.857666109572271	0.999987901646542	-0.147
candidate512	0.81681591401871	0.999663040323235	0.48243608452418	0.999987901646542	0.15871
candidate513	0.173590880010853	0.919697835442117	0.791220875570882	0.999987901646542	-0.39477
candidate514	0.824660007033568	0.999663040323235	0.458437818862978	0.999987901646542	0.094098
candidate515	0.522895245817168	0.999663040323235	0.626126602112493	0.999987901646542	-0.063837
candidate517	0.758890297918513	0.999663040323235	0.63023229707369	0.999987901646542	-0.0027138
candidate518	0.350430300907761	0.999663040323235	0.375300388424434	0.956855291238081	0.080015
candidate519	0.581510831213255	0.999663040323235	0.622563692704221	0.999987901646542	0.01817
candidate52	0.201316879421736	0.948082056080142	0.887322267171466	0.999987901646542	-0.26766
candidate520	0.363830672617847	0.999663040323235	0.914824473319284	0.999987901646542	-0.15008
candidate521	0.581471076200349	0.999663040323235	0.827749704888696	0.999987901646542	-0.088234
candidate522	0.900932315203798	0.999663040323235	0.108794900335439	0.577949767889006	0.11345
candidate523	0.915131281748645	0.999663040323235	0.466202965857938	0.999987901646542	0.10811
candidate524	0.138118928929447	0.845543194990819	0.93132062445256	0.999987901646542	-0.3155
candidate525	0.00908189672948909	0.219722196436065	0.562831934097387	0.999987901646542	-0.67276
candidate527	0.781823114396491	0.999663040323235	0.745723977582965	0.999987901646542	-0.019431
candidate528	0.937740288613969	0.999663040323235	0.084746419235863	0.532929024422574	0.33126
candidate529	0.747737979034523	0.999663040323235	0.718004743314161	0.999987901646542	0.021396
candidate530	0.281641450391852	0.999663040323235	0.857850100550207	0.999987901646542	-0.12582
candidate531	0.952037029249845	0.999663040323235	0.00991614904978014	0.226223249970543	0.16586
candidate532	0.0334309062871563	0.418646121914162	0.909536464078394	0.999987901646542	-0.28257
candidate533	0.141179626023875	0.845543194990819	0.520453072970592	0.999987901646542	-0.28736
candidate534	0.981688729100185	0.999663040323235	0.0441075870872537	0.476534911472094	0.48969
candidate535	0.927467096683589	0.999663040323235	0.518743345381628	0.999987901646542	0.10101
candidate536	0.968302800057415	0.999663040323235	0.0425698884672009	0.47374385663633	0.36225
candidate537	0.585090196323995	0.999663040323235	0.862597940901817	0.999987901646542	-0.11435
candidate538	0.736427590835227	0.999663040323235	0.660051196629168	0.999987901646542	-0.013399
candidate539	0.217466161082405	0.986397344707331	0.237593701143751	0.788639333314499	-0.20625
candidate54	0.893941849018797	0.999663040323235	0.259935392926705	0.823128744267899	0.23131
candidate541	0.33580720476412	0.999663040323235	0.838666793486721	0.999987901646542	-0.12102
candidate543	0.886368958389479	0.999663040323235	0.510578158979442	0.999987901646542	0.065975
candidate544	0.755932971884283	0.999663040323235	0.145484378713459	0.679338073484032	0.093844
candidate545	0.902112561891779	0.999663040323235	0.150256882878057	0.689929520548414	0.25029
candidate546	0.944111080267045	0.999663040323235	0.190936731716212	0.745002370013295	0.21565
candidate547	0.352451370269476	0.999663040323235	0.676938444260723	0.999987901646542	0.00063998
candidate549	0.939255527637294	0.999663040323235	0.0752607965832937	0.524920239460694	0.38108
candidate55	0.657710084987205	0.999663040323235	0.70516531375315	0.999987901646542	0.015129
candidate550	0.254256344896488	0.999663040323235	0.80548685417189	0.999987901646542	-0.2484
candidate552	0.366309509511385	0.999663040323235	0.348504059644352	0.936710911531893	-0.23817
candidate553	0.849942160012046	0.999663040323235	0.660742243883397	0.999987901646542	0.03579
candidate554	0.45326137384744	0.999663040323235	0.67996330457561	0.999987901646542	0.039659
candidate555	0.0710099159125067	0.644762724610623	0.9860282696046	0.999987901646542	-0.32189
candidate556	0.690470963062082	0.999663040323235	0.613073385910725	0.999987901646542	-0.0068256
candidate557	0.53270078441091	0.999663040323235	0.706233005708048	0.999987901646542	-0.1104
candidate558	0.907925400484721	0.999663040323235	0.060702265391185	0.49250990239678	0.17193
candidate56	0.920528330198142	0.999663040323235	0.318718534809686	0.909390167265146	0.080364
candidate560	0.990281138009429	0.999663040323235	0.0021188910809188	0.15385021366317	0.30119
candidate561	0.959416637727283	0.999663040323235	0.302397928100193	0.891022772102707	0.24172
candidate562	0.881698263336669	0.999663040323235	0.551117377393103	0.999987901646542	0.068041
candidate563	0.221221596198949	0.986397344707331	0.742992505813853	0.999987901646542	-0.32574
candidate564	0.224875467058457	0.986397344707331	0.739919644380555	0.999987901646542	-0.37358
candidate566	0.383538421317229	0.999663040323235	0.861037080717048	0.999987901646542	-0.18987
candidate567	0.960706149275785	0.999663040323235	0.331229821788062	0.91253815902611	0.176
candidate568	0.196299778956253	0.940531984390394	0.889040528667285	0.999987901646542	-0.27299
candidate569	0.561070530226987	0.999663040323235	0.0914969609620717	0.54798723358806	-0.097058
candidate57	0.961787996806283	0.999663040323235	0.403842436639592	0.972519738930715	0.19802
candidate570	0.527505970864503	0.999663040323235	0.216736784777188	0.775467327352146	0.030403
candidate571	0.351064331151254	0.999663040323235	0.860395758409936	0.999987901646542	-0.12816
candidate572	0.770533860347544	0.999663040323235	0.571577985584224	0.999987901646542	-0.033208
candidate573	0.54591611103814	0.999663040323235	0.708733964653863	0.999987901646542	-0.10351
candidate574	0.857012341820715	0.999663040323235	0.0998540931167166	0.567212425848565	0.20043
candidate575	0.436068846871723	0.999663040323235	0.635930912253851	0.999987901646542	-0.10431
candidate576	0.902923699725739	0.999663040323235	0.00217138099360428	0.15385021366317	0.52601
candidate577	0.0099692466622534	0.219722196436065	0.683148727626453	0.999987901646542	-0.66287
candidate578	0.769871600512336	0.999663040323235	0.505988533995849	0.999987901646542	-0.015758
candidate579	0.845473461116074	0.999663040323235	0.0670184602076133	0.499015832086418	0.26798
candidate58	0.1310309699191	0.845543194990819	0.810246839646958	0.999987901646542	-0.11134
candidate580	0.982000057310793	0.999663040323235	0.161004039415212	0.703276964017904	0.24261
candidate581	0.955242638483176	0.999663040323235	0.440459692694836	0.999987901646542	0.16198
candidate584	0.858119665267274	0.999663040323235	0.266463160491032	0.836452612020242	0.10067
candidate585	0.558187323763492	0.999663040323235	0.686550016865601	0.999987901646542	-0.03405
candidate586	0.948051374750685	0.999663040323235	0.2222844564128	0.77574294576341	0.1726
candidate587	0.268901475038449	0.999663040323235	0.880373500651692	0.999987901646542	-0.31225
candidate588	0.113020577739051	0.778429229177714	0.75446417954408	0.999987901646542	-0.33477
candidate589	0.0261243876639711	0.39065689681963	0.993300220511653	0.999987901646542	-0.48084
candidate59	0.186195420651565	0.924267358369482	0.901723282415014	0.999987901646542	-0.20551
candidate590	0.4902969211656	0.999663040323235	0.235772854977788	0.788639333314499	0.04032
candidate591	0.137675666450142	0.845543194990819	0.874139452161741	0.999987901646542	-0.27299
candidate592	0.858758840424773	0.999663040323235	0.64217760355266	0.999987901646542	0.072989
candidate593	0.588642059641655	0.999663040323235	0.659400366899665	0.999987901646542	-0.1398
candidate594	0.642717535427344	0.999663040323235	0.710003019131159	0.999987901646542	-0.13438
candidate595	0.502945344725801	0.999663040323235	0.431201881859878	0.998286709684004	0.054111
candidate596	0.590165476675348	0.999663040323235	0.723646404543454	0.999987901646542	-0.090009
candidate597	0.279248340805637	0.999663040323235	0.970535028234489	0.999987901646542	-0.28805
candidate598	0.685643717059522	0.999663040323235	0.717381083326839	0.999987901646542	0.093126
candidate599	0.991545571185198	0.999663040323235	0.0804821409827734	0.532929024422574	0.30885
candidate6	0.284078760037954	0.999663040323235	0.941701420838855	0.999987901646542	-0.3067
candidate60	0.341245342568127	0.999663040323235	0.888791490443359	0.999987901646542	-0.20433
candidate600	0.105067368673708	0.756094857266735	0.615640038138581	0.999987901646542	-0.32189
candidate601	0.27137393223165	0.999663040323235	0.956252285195338	0.999987901646542	-0.23473
candidate602	0.674630002872159	0.999663040323235	0.912898119928881	0.999987901646542	-0.13556
candidate603	0.969241829506064	0.999663040323235	0.170355406956718	0.703276964017904	0.19158
candidate604	0.0736658610049242	0.650936429485842	0.866987389476681	0.999987901646542	-0.38088
candidate605	0.964003302690707	0.999663040323235	0.0198338232046896	0.318462059402562	0.27641
candidate606	0.617636919978547	0.999663040323235	0.605308479160571	0.999987901646542	-0.01571
candidate607	0.367867024666013	0.999663040323235	0.622432092780018	0.999987901646542	-0.17857
candidate608	0.354647960554165	0.999663040323235	0.879758813502223	0.999987901646542	-0.1699
candidate609	0.300511173927573	0.999663040323235	0.659967180452018	0.999987901646542	-0.14198
candidate61	0.470171109590659	0.999663040323235	0.939277224485192	0.999987901646542	-0.23111
candidate610	0.395233291518513	0.999663040323235	0.789038760983515	0.999987901646542	-0.089174
candidate612	0.831920847746036	0.999663040323235	0.054208958387043	0.49250990239678	0.069844
candidate613	0.623624654208346	0.999663040323235	0.0982133048618878	0.567212425848565	0.34152
candidate614	0.18439392074227	0.923645912081733	0.193765143371617	0.745002370013295	-0.23849
candidate615	0.617622294661328	0.999663040323235	0.00539802775840618	0.185894580930113	0.31981
candidate616	0.91144958326428	0.999663040323235	0.14187425198585	0.668493903339699	0.15871
candidate617	0.431004156853388	0.999663040323235	0.845554487941115	0.999987901646542	-0.16028
candidate619	0.847176222088782	0.999663040323235	0.273080409082577	0.836452612020242	0.15871
candidate62	0.0713802653380181	0.644762724610623	0.698022961736265	0.999987901646542	-0.2645
candidate620	0.360963218894437	0.999663040323235	0.771423784286485	0.999987901646542	-0.12809
candidate621	0.619548041159858	0.999663040323235	0.694799136709369	0.999987901646542	-0.0049775
candidate622	0.134087408264762	0.845543194990819	0.984642840047896	0.999987901646542	-0.45063
candidate623	0.69214253004383	0.999663040323235	0.061459554184449	0.49250990239678	0.052148
candidate624	0.0113318605530592	0.240148275566755	0.428048528982969	0.998286709684004	-0.69235
candidate625	0.556490439104102	0.999663040323235	0.693597015221536	0.999987901646542	0.16213
candidate626	0.76441955629013	0.999663040323235	0.450423734924041	0.999987901646542	0.13873
candidate627	0.929999320014684	0.999663040323235	0.0590560255211113	0.49250990239678	0.40476
candidate628	0.999353527605586	0.999663040323235	0.00263885419811713	0.161556518129171	0.59102
candidate629	0.802461477976196	0.999663040323235	0.546282793542615	0.999987901646542	-0.020864
candidate63	0.101716993916341	0.756094857266735	0.600965538803128	0.999987901646542	-0.35986
candidate630	0.0801515889090106	0.680760034994064	0.808806729759945	0.999987901646542	-0.46879
candidate631	0.917881717969188	0.999663040323235	0.0246354147586288	0.348054193128319	0.51459
candidate632	0.912715010070224	0.999663040323235	0.202657824132246	0.745565355290273	0.19245
candidate633	0.950043208562668	0.999663040323235	0.453456227396227	0.999987901646542	0.13594
candidate634	0.268115846351569	0.999663040323235	0.0730613769590929	0.516113060313592	-0.16592
candidate635	0.869077336449664	0.999663040323235	0.289065422911542	0.865625261001411	0.10136
candidate636	0.347891054769866	0.999663040323235	0.894661832759407	0.999987901646542	-0.19637
candidate637	0.991262569707537	0.999663040323235	0.086672777980565	0.536592142329116	0.33241
candidate639	0.235273070605526	0.999663040323235	0.861640302415018	0.999987901646542	-0.32341
candidate64	0.0249559807142347	0.39065689681963	0.958555589006117	0.999987901646542	-0.5625
candidate640	0.991614486757446	0.999663040323235	0.018805743862846	0.318462059402562	0.42874
candidate641	0.0292931222045748	0.396440551523969	0.990854868143551	0.999987901646542	-0.40572
candidate642	0.400243364648966	0.999663040323235	0.800882522311808	0.999987901646542	-0.079998
candidate643	0.320328298871815	0.999663040323235	0.955601593194156	0.999987901646542	-0.26703
