Gene	neg.pval	neg.fdr	pos.pval	pos.fdr	lfc
ABCA13	0.206355571579144	0.931221503175507	0.870908776526903	0.999965837202483	-0.32955
ADAM17	0.0994970948570252	0.750998620085217	0.98427745772056	0.999965837202483	-0.52898
ADAMTSL3	0.644635715977831	0.999733420003506	0.78324612552175	0.999965837202483	-0.12256
ADAT1	0.208226853651756	0.931221503175507	0.240603786200179	0.988465312858384	-0.057931
AKT1	0.500950075410596	0.999733420003506	0.547237998170489	0.999965837202483	0.053845
ALDH16A1	0.212947203992947	0.931221503175507	0.339366566066996	0.999965837202483	-0.28525
ANKRD22	0.800659941286493	0.999733420003506	0.766887741879426	0.999965837202483	-0.0032196
ASAP	0.47359948885633	0.999733420003506	0.593290339243092	0.999965837202483	-0.031512
ATM	0.967715268869315	0.999733420003506	0.331419966704157	0.999965837202483	0.26818
ATP7A	0.00100557904049306	0.138518512827918	0.999321938552072	0.999965837202483	-2.4266
ATP7B	0.362361035179975	0.999733420003506	0.940823547022889	0.999965837202483	-0.29139
ATR	0.0960386838349767	0.734962705459336	0.826442073555862	0.999965837202483	-0.46286
BCL2L1	0.377529758265154	0.999733420003506	0.875047421022735	0.999965837202483	-0.32068
BCL6B	0.145979204020072	0.908680015664215	0.947294586259896	0.999965837202483	-0.49069
BECN1	0.983606201007926	0.999733420003506	0.0503035962573908	0.494951456032542	0.3878
BRCA2	0.15494833874666	0.908680015664215	0.971519120374155	0.999965837202483	-0.51621
C1R	0.56176886135517	0.999733420003506	0.434414916887189	0.999965837202483	0.014863
CADM1	0.0395488818825287	0.530456072831611	0.991557436402216	0.999965837202483	-1.2839
candidate5	0.710320248005707	0.999733420003506	0.192520420074502	0.891418079504629	0.15619
candidate50	0.61246793252067	0.999733420003506	0.563183945895557	0.999965837202483	-0.070021
candidate500	0.50028899111292	0.999733420003506	0.619398061691932	0.999965837202483	0.13422
candidate501	0.192844936492724	0.931221503175507	0.868649111141102	0.999965837202483	-0.38424
candidate502	0.202120738409413	0.931221503175507	0.504159950242996	0.999965837202483	-0.24522
candidate503	0.269933208165725	0.984151631528615	0.588441664685935	0.999965837202483	-0.086744
candidate504	0.102200272737062	0.760977706461099	0.986234516777191	0.999965837202483	-0.4378
candidate505	0.840947476680288	0.999733420003506	0.450103008959652	0.999965837202483	0.22131
candidate506	0.577791026256582	0.999733420003506	0.384699182632499	0.999965837202483	0.52688
candidate507	0.2630461895525	0.982721798546915	0.564088688129828	0.999965837202483	-0.2411
candidate508	0.0276077026719715	0.49766729867084	0.999198183656329	0.999965837202483	-0.74749
candidate509	0.24100810626794	0.964027503895815	0.883632312478179	0.999965837202483	-0.34739
candidate51	0.986123557240549	0.999733420003506	0.00859665293671371	0.263153098229403	0.34182
candidate510	0.145649681090183	0.908680015664215	0.787162949782131	0.999965837202483	-0.32569
candidate511	0.0944568982395537	0.734962705459336	0.949951417999613	0.999965837202483	-0.34717
candidate512	0.947814078385109	0.999733420003506	0.224212927818893	0.97353404060031	0.22933
candidate513	0.73671248087354	0.999733420003506	0.564347507660108	0.999965837202483	0.0064389
candidate514	0.737512307980692	0.999733420003506	0.166219154647302	0.871953882405348	0.35626
candidate515	0.253914998955311	0.968544287702157	0.936131167303539	0.999965837202483	-0.30538
candidate517	0.156174591125869	0.908680015664215	0.803371238895225	0.999965837202483	-0.30108
candidate518	0.632537150654734	0.999733420003506	0.580392110362761	0.999965837202483	0.090786
candidate519	0.284090648095514	0.995878046883039	0.617141705521732	0.999965837202483	-0.024388
candidate52	0.767233385913941	0.999733420003506	0.628675109475233	0.999965837202483	-0.022336
candidate520	0.430375606139759	0.999733420003506	0.618564865405245	0.999965837202483	-0.21726
