Gene	neg.pval	neg.fdr	pos.pval	pos.fdr	lfc
ABCA13	0.817044244414675	0.999991221846835	0.0899804713693143	0.597340237644484	0.23875
ADAM17	0.0951316022619927	0.738274828821943	0.988612717836771	0.999999967142524	-0.27461
ADAMTSL3	0.66331058288938	0.999991221846835	0.553600280720472	0.999999967142524	-0.0065949
ADAT1	0.00676970753602992	0.1492043540941	0.802931647196701	0.999999967142524	-0.23221
AKT1	0.209779343105648	0.979562864840781	0.902776809790514	0.999999967142524	0.021586
ALDH16A1	0.396324341659858	0.999991221846835	0.541210436638934	0.999999967142524	0.013693
ANKRD22	0.439904560652318	0.999991221846835	0.849240466683201	0.999999967142524	-0.024715
ASAP	0.533882835262712	0.999991221846835	0.523158415327461	0.999999967142524	0.053925
ATM	0.495020892239803	0.999991221846835	0.348653019899466	0.950411223101195	0.1461
ATP7A	0.0327494073688983	0.410111896824158	0.353951169163412	0.950411223101195	-0.059679
ATP7B	0.146500348635117	0.840141295082372	0.829908038789754	0.999999967142524	-0.23046
ATR	0.128861507646287	0.816122881759819	0.927662392993156	0.999999967142524	-0.27044
BCL2L1	0.492268230731268	0.999991221846835	0.514378396754578	0.999999967142524	-0.07289
BCL6B	0.152950249654905	0.859954975100539	0.990763212792974	0.999999967142524	-0.38693
BECN1	0.999063827143744	0.999991221846835	0.0146981849878069	0.337908653810585	0.45855
BRCA2	0.338213501756178	0.999991221846835	0.226396149218927	0.828541077541884	0.12471
C1R	0.906507188634075	0.999991221846835	0.165781207327962	0.774113942692431	0.27156
CADM1	0.0390056250238236	0.457278710385676	0.893841487846917	0.999999967142524	-0.82244
candidate5	0.988757884275812	0.999991221846835	0.25516677668555	0.857298133864258	0.3057
candidate50	0.786666200725926	0.999991221846835	0.111786722952568	0.65526047177516	0.32705
candidate500	0.0993704323798238	0.75250756567002	0.649161845518256	0.999999967142524	-0.19076
candidate501	0.294841274561196	0.999991221846835	0.98534589689577	0.999999967142524	-0.034654
candidate502	0.145199015591051	0.840141295082372	0.774720812481447	0.999999967142524	-0.28329
candidate503	0.44205799471218	0.999991221846835	0.91528716986128	0.999999967142524	0.041685
candidate504	0.00399388285070777	0.106593541945642	0.999735811866932	0.999999967142524	-0.39757
candidate505	0.38068122560719	0.999991221846835	0.535650455133023	0.999999967142524	-0.0077931
candidate506	0.779284804957437	0.999991221846835	0.111632268200323	0.65526047177516	0.6693
candidate507	0.544050056259388	0.999991221846835	0.822702824801114	0.999999967142524	-0.043078
candidate508	0.134976422648494	0.826355654214668	0.95166330302336	0.999999967142524	-0.34844
candidate509	0.235401424235317	0.999991221846835	0.74101034009245	0.999999967142524	0.01992
candidate51	0.952739702263816	0.999991221846835	0.158390691255175	0.765338488832286	0.17246
candidate510	0.0919323204682116	0.734126211275139	0.972766219457678	0.999999967142524	-0.34476
candidate511	0.192446394176447	0.964400129293123	0.928547846590363	0.999999967142524	-0.3182
candidate512	0.989695329218836	0.999991221846835	0.37529492933192	0.950411223101195	0.36147
candidate513	0.111853149619548	0.775483694338142	0.915691105991934	0.999999967142524	0.096191
candidate514	0.888739755944227	0.999991221846835	0.329925381788794	0.945500577520909	0.19222
candidate515	0.395355321542109	0.999991221846835	0.953485959098554	0.999999967142524	0.02032
candidate517	0.564977062423834	0.999991221846835	0.836803060752316	0.999999967142524	-0.24472
candidate518	0.894106023990748	0.999991221846835	0.678632556262423	0.999999967142524	0.17821
candidate519	0.416346520124593	0.999991221846835	0.579583523909607	0.999999967142524	0.01302
candidate52	0.185767054446867	0.964400129293123	0.72325473581716	0.999999967142524	-0.14037
candidate520	0.371375951734753	0.999991221846835	0.751606038038531	0.999999967142524	-0.27363
candidate521	0.677009962726982	0.999991221846835	0.446946592769071	0.999999967142524	0.035247
candidate522	0.832891062204388	0.999991221846835	0.651439273809051	0.999999967142524	0.087906
candidate523	0.640930417640109	0.999991221846835	0.212419608059894	0.828541077541884	0.057922
candidate524	0.0317131516438291	0.406370850133717	0.994614651660224	0.999999967142524	-0.40652
candidate525	0.0113029201864566	0.239534962412984	0.847376104154527	0.999999967142524	-0.48926
candidate527	0.467905806717961	0.999991221846835	0.961242906827313	0.999999967142524	-0.094699
