Gene	neg.pval	neg.fdr	pos.pval	pos.fdr	lfc
AAVS1	0.703422852900301	0.998439206190938	0.68219914089373	0.99999213499434	0.011449
ABCA13	0.261557169812323	0.869756371906037	0.707607203441273	0.99999213499434	-0.085495
ADAM17	0.606321106511832	0.998439206190938	0.522902038466103	0.99999213499434	0.14347
ADAMTSL3	0.252808087666987	0.868010822148043	0.833851149613012	0.99999213499434	-0.22817
ADAT1	0.661340805445785	0.998439206190938	0.572436270793157	0.99999213499434	-0.084273
AKT1	0.0391651771459219	0.441207709888752	0.981524079688613	0.99999213499434	-0.58999
ALDH16A1	0.44427005520618	0.998439206190938	0.967661330448369	0.99999213499434	-0.23508
ANKRD22	0.788158066162445	0.998439206190938	0.532042220770276	0.99999213499434	0.14742
ASAP	0.192352348302209	0.772739795446598	0.46106285982646	0.99999213499434	-0.25277
ATM	0.372706153340637	0.997361567374489	0.590386930491668	0.99999213499434	-0.078655
ATP7A	0.804708421784737	0.998439206190938	0.307109512548064	0.99999213499434	0.1916
ATP7B	0.983287897268009	0.998439206190938	0.234010869188674	0.906591262705957	0.35713
ATR	0.0621301628356408	0.548966240947113	0.986845769145618	0.99999213499434	-0.434
BCL2L1	0.387077566250797	0.998439206190938	0.0567009986869983	0.513897688901597	0.33306
BCL6B	0.481005186368136	0.998439206190938	0.776441598532398	0.99999213499434	-0.073739
BECN1	0.914693473457565	0.998439206190938	0.00248278583855357	0.155338409447369	0.76874
BRCA2	0.176145916017204	0.755903087082903	0.401024196112987	0.99999213499434	-0.20793
C1R	0.995283907012802	0.998439206190938	0.105228507296177	0.691501619374875	0.39098
CADM1	0.330141606356932	0.957413991978605	0.871524580387086	0.99999213499434	-0.14031
candidate5	0.998358301858809	0.998439206190938	0.0114859680605288	0.323051780779332	0.53561
candidate50	0.480727158852106	0.998439206190938	0.620863615180748	0.99999213499434	0.11522
candidate500	0.421002222453654	0.998439206190938	0.729209353079444	0.99999213499434	-0.042174
candidate501	0.0055594399342457	0.113659660877912	0.9988769744153	0.99999213499434	-0.54653
candidate502	0.00154943600413136	0.0526443826851963	0.932099662681748	0.99999213499434	-0.78802
candidate503	0.0899662628013822	0.666263413044638	0.983986714966116	0.99999213499434	-0.47149
candidate504	0.0034668585953965	0.0869866338481303	0.975552416884439	0.99999213499434	-0.56061
candidate505	0.00167302448642732	0.0526443826851963	0.466528763499257	0.99999213499434	-0.88279
candidate506	0.703660373041131	0.998439206190938	0.0325207339712007	0.365702625448652	0.1916
candidate507	0.215348294078175	0.798804808778844	0.492181085304913	0.99999213499434	-0.071732
candidate508	0.0499901654885376	0.495513462527511	0.969555646825014	0.99999213499434	-0.46366
candidate509	0.000458577766172952	0.025313492692747	0.876602446238153	0.99999213499434	-0.91084
candidate51	0.174130097820481	0.755903087082903	0.333543766956195	0.99999213499434	-0.26443
candidate510	0.516927379551183	0.998439206190938	0.145036685969141	0.749324850087156	0.35873
candidate511	0.194469106907087	0.772739795446598	0.967249305502671	0.99999213499434	-0.24079
candidate512	0.580288609119017	0.998439206190938	0.887941428136402	0.99999213499434	-0.076612
candidate513	0.356904211272819	0.980154848868636	0.688680909668739	0.99999213499434	-0.23272
candidate514	0.0647136842998238	0.551909715376214	0.812025986421839	0.99999213499434	-0.2033
candidate515	0.439843321954153	0.998439206190938	0.191207495055475	0.858101929029448	0.15703
candidate517	0.378783810076067	0.998439206190938	0.605649558478093	0.99999213499434	-0.025449
candidate518	0.259985006183444	0.869756371906037	0.134878878304038	0.744531408238289	0.18808
candidate519	0.599568374925354	0.998439206190938	0.497343185115981	0.99999213499434	-0.062097
candidate52	0.130476273266943	0.716035240580257	0.864126132564561	0.99999213499434	-0.45793
candidate520	0.97529138897697	0.998439206190938	0.0669002474921359	0.535201979937087	0.41287
candidate521	0.0819458070208457	0.646201221078669	0.793691347539841	0.99999213499434	-0.17884
candidate522	0.992300555537689	0.998439206190938	0.0954428407246053	0.654297403308128	0.38647
