name,fastq_1,fastq_2
week0.1,testdata/sgrna/week0.1.fastq.gz,
week0.2,testdata/sgrna/week0.2.fastq.gz,
week4.1,testdata/sgrna/week4.1.fastq.gz,
week4.2,testdata/sgrna/week4.2.fastq.gz,
